SSID,BSS,RSSI,Channel,Time
,,,,
Unifi,70:EA:1A:95:BF:C0,-85,1,12:31:03
,,,,
Unifi,70:EA:1A:95:BF:C0,-85,1,12:31:07
,,,,
Unifi,70:EA:1A:95:BF:C0,-85,1,12:31:11
,,,,
Unifi,70:EA:1A:95:BF:C0,-85,1,12:31:15
,,,,
Unifi,70:EA:1A:95:BF:C0,-85,1,12:31:19
,,,,
Unifi,70:EA:1A:95:BF:C0,-85,1,12:31:23
,,,,
Unifi,70:EA:1A:95:BF:C0,-85,1,12:31:27
,,,,
UnifiGuest,70:EA:1A:89:11:C1,-89,6,12:30:56
,,,,
UnifiGuest,70:EA:1A:89:11:C1,-88,6,12:30:59
,,,,
UnifiGuest,70:EA:1A:89:11:C1,-88,6,12:31:03
,,,,
UnifiGuest,70:EA:1A:89:11:C1,-88,6,12:31:07
,,,,
UnifiGuest,70:EA:1A:89:11:C1,-90,6,12:31:11
,,,,
UnifiGuest,70:EA:1A:89:11:C1,-90,6,12:31:15
,,,,
UnifiGuest,70:EA:1A:89:11:C1,-90,6,12:31:19
,,,,
UnifiGuest,70:EA:1A:89:11:C1,-90,6,12:31:23
,,,,
UnifiGuest,70:EA:1A:89:11:C1,-90,6,12:31:27
,,,,
UnifiGuest,70:EA:1A:95:BF:C1,-91,1,12:30:59
,,,,
UnifiGuest,70:EA:1A:95:BF:C1,-90,1,12:31:03
,,,,
UnifiGuest,70:EA:1A:95:BF:C1,-90,1,12:31:07
,,,,
UnifiGuest,70:EA:1A:95:BF:C1,-90,1,12:31:11
,,,,
UnifiGuest,70:EA:1A:95:BF:C1,-90,1,12:31:15
,,,,
UnifiGuest,70:EA:1A:95:BF:C1,-90,1,12:31:19
,,,,
UnifiGuest,70:EA:1A:95:BF:C1,-90,1,12:31:23
,,,,
UnifiGuest,70:EA:1A:95:BF:C1,-90,1,12:31:27
,,,,
eduroam,70:EA:1A:0E:08:4D,-87,64,12:30:56
,,,,
eduroam,70:EA:1A:0E:08:4D,-90,64,12:30:59
,,,,
eduroam,70:EA:1A:0E:08:4D,-90,64,12:31:03
,,,,
eduroam,70:EA:1A:0E:08:4D,-90,64,12:31:07
,,,,
eduroam,70:EA:1A:0E:08:4D,-88,64,12:31:11
,,,,
eduroam,70:EA:1A:0E:08:4D,-93,64,12:31:15
,,,,
eduroam,70:EA:1A:0E:08:4D,-93,64,12:31:19
,,,,
eduroam,70:EA:1A:0E:08:4D,-89,64,12:31:23
,,,,
eduroam,70:EA:1A:0E:08:4D,-89,64,12:31:27
,,,,
Unifi,70:EA:1A:0E:08:40,-89,1,12:30:56
,,,,
Unifi,70:EA:1A:0E:08:40,-89,1,12:30:59
,,,,
Unifi,70:EA:1A:0E:08:40,-89,1,12:31:03
,,,,
eduroam,70:EA:1A:89:11:C2,-89,6,12:30:59
,,,,
eduroam,70:EA:1A:89:11:C2,-89,6,12:31:03
,,,,
eduroam,70:EA:1A:89:11:C2,-89,6,12:31:07
,,,,
eduroam,70:EA:1A:89:11:C2,-89,6,12:31:11
,,,,
eduroam,70:EA:1A:89:11:C2,-89,6,12:31:15
,,,,
eduroam,70:EA:1A:89:11:C2,-89,6,12:31:19
,,,,
eduroam,70:EA:1A:89:11:C2,-89,6,12:31:23
,,,,
eduroam,70:EA:1A:89:11:C2,-89,6,12:31:27
,,,,
eduroam,70:EA:1A:95:BF:C2,-92,1,12:30:59
,,,,
eduroam,70:EA:1A:95:BF:C2,-90,1,12:31:03
,,,,
eduroam,70:EA:1A:95:BF:C2,-90,1,12:31:07
,,,,
eduroam,70:EA:1A:95:BF:C2,-90,1,12:31:11
,,,,
eduroam,70:EA:1A:95:BF:C2,-90,1,12:31:15
,,,,
eduroam,70:EA:1A:95:BF:C2,-90,1,12:31:19
,,,,
eduroam,70:EA:1A:95:BF:C2,-90,1,12:31:23
,,,,
eduroam,70:EA:1A:95:BF:C2,-90,1,12:31:27
,,,,
UnifiGuest,70:EA:1A:0E:08:4E,-88,64,12:30:56
,,,,
UnifiGuest,70:EA:1A:0E:08:4E,-92,64,12:30:59
,,,,
UnifiGuest,70:EA:1A:0E:08:4E,-90,64,12:31:03
,,,,
UnifiGuest,70:EA:1A:0E:08:4E,-90,64,12:31:07
,,,,
UnifiGuest,70:EA:1A:0E:08:4E,-89,64,12:31:11
,,,,
UnifiGuest,70:EA:1A:0E:08:4E,-92,64,12:31:15
,,,,
UnifiGuest,70:EA:1A:0E:08:4E,-91,64,12:31:19
,,,,
UnifiGuest,70:EA:1A:0E:08:4E,-88,64,12:31:23
,,,,
UnifiGuest,70:EA:1A:0E:08:4E,-93,64,12:31:27
,,,,
UnifiGuest,70:EA:1A:0E:08:41,-90,1,12:30:56
,,,,
UnifiGuest,70:EA:1A:0E:08:41,-90,1,12:30:59
,,,,
UnifiGuest,70:EA:1A:0E:08:41,-90,1,12:31:03
,,,,
Unifi,70:EA:1A:0E:08:4F,-90,64,12:30:56
,,,,
,70:EA:1A:0E:08:4F,-85,64,12:30:56
,,,,
Unifi,70:EA:1A:0E:08:4F,-90,64,12:30:59
,,,,
,70:EA:1A:0E:08:4F,-85,64,12:30:59
,,,,
Unifi,70:EA:1A:0E:08:4F,-90,64,12:31:03
,,,,
Unifi,70:EA:1A:0E:08:4F,-90,64,12:31:07
,,,,
Unifi,70:EA:1A:0E:08:4F,-90,64,12:31:11
,,,,
Unifi,70:EA:1A:0E:08:4F,-92,64,12:31:15
,,,,
Unifi,70:EA:1A:0E:08:4F,-92,64,12:31:19
,,,,
Unifi,70:EA:1A:0E:08:4F,-92,64,12:31:23
,,,,
Unifi,70:EA:1A:0E:08:4F,-92,64,12:31:27
,,,,
eduroam,70:EA:1A:0E:08:42,-90,1,12:30:56
,,,,
eduroam,70:EA:1A:0E:08:42,-90,1,12:30:59
,,,,
eduroam,70:EA:1A:0E:08:42,-90,1,12:31:03
,,,,
eduroam,70:EA:1A:03:09:6D,-92,60,12:30:56
,,,,
eduroam,70:EA:1A:03:09:6D,-92,60,12:30:59
,,,,
eduroam,70:EA:1A:03:09:6D,-92,60,12:31:03
,,,,
eduroam,70:EA:1A:03:09:6D,-92,60,12:31:07
,,,,
eduroam,70:EA:1A:03:09:6D,-90,60,12:31:11
,,,,
eduroam,70:EA:1A:03:09:6D,-86,60,12:31:15
,,,,
eduroam,70:EA:1A:03:09:6D,-90,60,12:31:19
,,,,
eduroam,70:EA:1A:03:09:6D,-90,60,12:31:23
,,,,
eduroam,70:EA:1A:03:09:6D,-92,60,12:31:27
,,,,
Denspeaker.n019,FA:8F:CA:C1:56:0A,-94,6,12:30:56
,,,,
Denspeaker.n019,FA:8F:CA:C1:56:0A,-94,6,12:30:59
,,,,
Denspeaker.n019,FA:8F:CA:C1:56:0A,-94,6,12:31:03
,,,,
Denspeaker.n019,FA:8F:CA:C1:56:0A,-94,6,12:31:07
,,,,
Denspeaker.n019,FA:8F:CA:C1:56:0A,-94,6,12:31:11
,,,,
Denspeaker.n019,FA:8F:CA:C1:56:0A,-94,6,12:31:15
,,,,
Denspeaker.n019,FA:8F:CA:C1:56:0A,-94,6,12:31:19
,,,,
Unifi,00:2C:C8:90:8C:60,-85,6,12:30:56
,,,,
Unifi,00:2C:C8:90:8C:60,-85,6,12:30:59
,,,,
Unifi,00:2C:C8:90:8C:60,-85,6,12:31:03
,,,,
Unifi,00:2C:C8:90:8C:60,-85,6,12:31:07
,,,,
Unifi,00:2C:C8:90:8C:60,-91,6,12:31:23
,,,,
Unifi,00:2C:C8:90:8C:60,-91,6,12:31:27
,,,,
Unifi,00:2C:C8:BC:26:20,-89,11,12:30:56
,,,,
Unifi,00:2C:C8:BC:26:20,-89,11,12:30:59
,,,,
Unifi,00:2C:C8:BC:26:20,-89,11,12:31:03
,,,,
Unifi,00:2C:C8:BC:26:20,-89,11,12:31:07
,,,,
eduroam,00:A7:42:EC:4F:2D,-76,64,12:30:56
,,,,
eduroam,00:A7:42:EC:4F:2D,-70,64,12:30:59
,,,,
eduroam,00:A7:42:EC:4F:2D,-74,64,12:31:03
,,,,
eduroam,00:A7:42:EC:4F:2D,-77,64,12:31:07
,,,,
eduroam,00:A7:42:EC:4F:2D,-65,64,12:31:11
,,,,
eduroam,00:A7:42:EC:4F:2D,-69,64,12:31:15
,,,,
eduroam,00:A7:42:EC:4F:2D,-75,64,12:31:19
,,,,
eduroam,00:A7:42:EC:4F:2D,-65,64,12:31:23
,,,,
eduroam,00:A7:42:EC:4F:2D,-70,64,12:31:27
,,,,
UnifiGuest,70:EA:1A:03:09:6E,-90,60,12:30:56
,,,,
UnifiGuest,70:EA:1A:03:09:6E,-90,60,12:30:59
,,,,
UnifiGuest,70:EA:1A:03:09:6E,-90,60,12:31:03
,,,,
UnifiGuest,70:EA:1A:03:09:6E,-94,60,12:31:07
,,,,
UnifiGuest,70:EA:1A:03:09:6E,-92,60,12:31:11
,,,,
UnifiGuest,70:EA:1A:03:09:6E,-88,60,12:31:15
,,,,
UnifiGuest,70:EA:1A:03:09:6E,-90,60,12:31:19
,,,,
UnifiGuest,70:EA:1A:03:09:6E,-90,60,12:31:23
,,,,
UnifiGuest,70:EA:1A:03:09:6E,-91,60,12:31:27
,,,,
Unifi,00:A7:42:EC:4F:20,-80,1,12:30:56
,,,,
Unifi,00:A7:42:EC:4F:20,-77,1,12:30:59
,,,,
Unifi,00:A7:42:EC:4F:20,-77,1,12:31:03
,,,,
Unifi,00:A7:42:EC:4F:20,-77,1,12:31:07
,,,,
Unifi,00:A7:42:EC:4F:20,-77,1,12:31:11
,,,,
Unifi,00:A7:42:EC:4F:20,-77,1,12:31:15
,,,,
Unifi,00:A7:42:EC:4F:20,-77,1,12:31:19
,,,,
Unifi,00:A7:42:EC:4F:20,-77,1,12:31:23
,,,,
Unifi,D4:C9:3C:DF:59:20,-84,6,12:30:56
,,,,
Unifi,D4:C9:3C:DF:59:20,-84,6,12:30:59
,,,,
Unifi,D4:C9:3C:DF:59:20,-84,6,12:31:03
,,,,
Unifi,D4:C9:3C:DF:59:20,-84,6,12:31:07
,,,,
Unifi,D4:C9:3C:DF:59:20,-84,6,12:31:11
,,,,
Unifi,D4:C9:3C:DF:59:20,-84,6,12:31:15
,,,,
Unifi,D4:C9:3C:DF:59:20,-83,6,12:31:19
,,,,
Unifi,D4:C9:3C:DF:59:20,-83,6,12:31:23
,,,,
Unifi,D4:C9:3C:DF:59:20,-83,6,12:31:27
,,,,
UnifiGuest,00:2C:C8:BC:26:21,-88,11,12:30:56
,,,,
UnifiGuest,00:2C:C8:BC:26:21,-88,11,12:30:59
,,,,
UnifiGuest,00:2C:C8:BC:26:21,-88,11,12:31:03
,,,,
UnifiGuest,00:2C:C8:BC:26:21,-88,11,12:31:07
,,,,
UnifiGuest,00:2C:C8:90:8C:61,-84,6,12:30:56
,,,,
UnifiGuest,00:2C:C8:90:8C:61,-84,6,12:30:59
,,,,
UnifiGuest,00:2C:C8:90:8C:61,-89,6,12:31:03
,,,,
UnifiGuest,00:2C:C8:90:8C:61,-89,6,12:31:07
,,,,
UnifiGuest,00:2C:C8:90:8C:61,-89,6,12:31:11
,,,,
UnifiGuest,00:2C:C8:90:8C:61,-89,6,12:31:15
,,,,
UnifiGuest,00:2C:C8:90:8C:61,-89,6,12:31:19
,,,,
UnifiGuest,00:2C:C8:90:8C:61,-89,6,12:31:23
,,,,
UnifiGuest,00:2C:C8:90:8C:61,-89,6,12:31:27
,,,,
BigAir_StThomas,F8:E7:1E:2A:0F:EC,-91,108,12:30:56
,,,,
BigAir_StThomas,F8:E7:1E:2A:0F:EC,-91,108,12:30:59
,,,,
BigAir_StThomas,F8:E7:1E:2A:0F:EC,-89,108,12:31:03
,,,,
BigAir_StThomas,F8:E7:1E:2A:0F:EC,-89,108,12:31:07
,,,,
BigAir_StThomas,F8:E7:1E:2A:0F:EC,-89,108,12:31:11
,,,,
BigAir_StThomas,F8:E7:1E:2A:0F:EC,-89,108,12:31:15
,,,,
BigAir_StThomas,F8:E7:1E:2A:0F:EC,-92,108,12:31:19
,,,,
