SSID,BSS,RSSI,Channel,Time
,,,,
,92:2A:A8:03:91:0B,-93,1,15:16:27
,,,,
,92:2A:A8:03:91:0B,-93,1,15:16:31
,,,,
,92:2A:A8:03:91:0B,-93,1,15:16:34
,,,,
eduroam,A0:CF:5B:3F:88:5D,-91,36,15:16:42
,,,,
eduroam,A0:CF:5B:3F:88:5D,-91,36,15:16:46
,,,,
eduroam,A0:CF:5B:3F:88:5D,-91,36,15:16:50
,,,,
eduroam,A0:CF:5B:3F:88:5D,-91,36,15:16:53
,,,,
eduroam,A0:CF:5B:3F:88:5D,-91,36,15:16:57
,,,,
eduroam,A0:CF:5B:3F:85:D2,-77,11,15:16:27
,,,,
eduroam,A0:CF:5B:3F:85:D2,-82,11,15:16:31
,,,,
eduroam,A0:CF:5B:3F:85:D2,-83,11,15:16:34
,,,,
eduroam,A0:CF:5B:3F:85:D2,-81,11,15:16:38
,,,,
eduroam,A0:CF:5B:3F:85:D2,-80,11,15:16:42
,,,,
eduroam,A0:CF:5B:3F:85:D2,-80,11,15:16:46
,,,,
eduroam,A0:CF:5B:3F:85:D2,-82,11,15:16:50
,,,,
eduroam,A0:CF:5B:3F:85:D2,-82,11,15:16:53
,,,,
eduroam,A0:CF:5B:3F:85:D2,-80,11,15:16:57
,,,,
eduroam,A0:CF:5B:3F:87:E2,-88,11,15:16:27
,,,,
eduroam,A0:CF:5B:3F:87:E2,-88,11,15:16:31
,,,,
eduroam,A0:CF:5B:3F:87:E2,-88,11,15:16:34
,,,,
eduroam,A0:CF:5B:3F:88:52,-84,1,15:16:27
,,,,
eduroam,A0:CF:5B:3F:88:52,-84,1,15:16:31
,,,,
eduroam,A0:CF:5B:3F:88:52,-84,1,15:16:34
,,,,
eduroam,A0:CF:5B:3F:88:52,-83,1,15:16:38
,,,,
eduroam,A0:CF:5B:3F:88:52,-85,1,15:16:42
,,,,
eduroam,A0:CF:5B:3F:88:52,-85,1,15:16:46
,,,,
eduroam,A0:CF:5B:3F:88:52,-85,1,15:16:50
,,,,
eduroam,A0:CF:5B:3F:88:52,-85,1,15:16:53
,,,,
eduroam,A0:CF:5B:3F:88:52,-83,1,15:16:57
,,,,
StCatherinesSeminars,F8:E7:1E:AB:3D:D8,-86,11,15:16:27
,,,,
StCatherinesSeminars,F8:E7:1E:AB:3D:D8,-86,11,15:16:31
,,,,
StCatherinesSeminars,F8:E7:1E:AB:3D:D8,-86,11,15:16:34
,,,,
UnifiGuest,A0:CF:5B:3F:87:E1,-87,11,15:16:27
,,,,
UnifiGuest,A0:CF:5B:3F:87:E1,-87,11,15:16:31
,,,,
UnifiGuest,A0:CF:5B:3F:87:E1,-87,11,15:16:34
,,,,
UnifiGuest,A0:CF:5B:3F:88:51,-86,1,15:16:27
,,,,
UnifiGuest,A0:CF:5B:3F:88:51,-86,1,15:16:31
,,,,
UnifiGuest,A0:CF:5B:3F:88:51,-86,1,15:16:34
,,,,
UnifiGuest,A0:CF:5B:3F:88:51,-84,1,15:16:38
,,,,
UnifiGuest,A0:CF:5B:3F:88:51,-85,1,15:16:42
,,,,
UnifiGuest,A0:CF:5B:3F:88:51,-85,1,15:16:46
,,,,
UnifiGuest,A0:CF:5B:3F:88:51,-85,1,15:16:50
,,,,
UnifiGuest,A0:CF:5B:3F:88:51,-85,1,15:16:53
,,,,
UnifiGuest,A0:CF:5B:3F:88:51,-82,1,15:16:57
,,,,
UnifiGuest,A0:CF:5B:3F:85:D1,-76,11,15:16:27
,,,,
UnifiGuest,A0:CF:5B:3F:85:D1,-82,11,15:16:31
,,,,
UnifiGuest,A0:CF:5B:3F:85:D1,-82,11,15:16:34
,,,,
UnifiGuest,A0:CF:5B:3F:85:D1,-81,11,15:16:38
,,,,
UnifiGuest,A0:CF:5B:3F:85:D1,-80,11,15:16:42
,,,,
UnifiGuest,A0:CF:5B:3F:85:D1,-80,11,15:16:46
,,,,
UnifiGuest,A0:CF:5B:3F:85:D1,-81,11,15:16:50
,,,,
