SSID,BSS,RSSI,Channel,Time
,,,,
eduroam,A0:CF:5B:3F:69:42,-88,1,3:07:16pm
,,,,
eduroam,A0:CF:5B:3F:69:42,-88,1,3:07:18pm
,,,,
Unifi,A0:CF:5B:3F:68:90,-84,1,3:07:16pm
,,,,
Unifi,A0:CF:5B:3F:68:90,-84,1,3:07:18pm
,,,,
Unifi,A0:CF:5B:3F:68:90,-84,1,3:07:22pm
,,,,
Unifi,A0:CF:5B:3F:68:90,-84,1,3:07:25pm
,,,,
Unifi,A0:CF:5B:3F:68:90,-84,1,3:07:29pm
,,,,
Unifi,A0:CF:5B:3F:68:90,-84,1,3:07:33pm
,,,,
Unifi,A0:CF:5B:3F:68:90,-84,1,3:07:36pm
,,,,
Unifi,A0:CF:5B:3F:68:90,-84,1,3:07:39pm
,,,,
Hydro,D4:6E:0E:6D:8B:17,-90,4,3:07:16pm
,,,,
Hydro,D4:6E:0E:6D:8B:17,-90,4,3:07:18pm
,,,,
Hydro,D4:6E:0E:6D:8B:17,-90,4,3:07:22pm
,,,,
Hydro,D4:6E:0E:6D:8B:17,-90,4,3:07:25pm
,,,,
Hydro,D4:6E:0E:6D:8B:17,-90,4,3:07:29pm
,,,,
Hydro,D4:6E:0E:6D:8B:17,-90,4,3:07:33pm
,,,,
Hydro,D4:6E:0E:6D:8B:17,-88,4,3:07:36pm
,,,,
Hydro,D4:6E:0E:6D:8B:17,-88,4,3:07:39pm
,,,,
Hydro,D4:6E:0E:6D:8B:17,-88,4,3:07:43pm
,,,,
Hydro,D4:6E:0E:6D:8B:17,-88,4,3:07:46pm
,,,,
eduroam,A0:E0:AF:99:D2:E2,-85,6,3:07:16pm
,,,,
eduroam,A0:E0:AF:99:D2:E2,-85,6,3:07:18pm
,,,,
eduroam,A0:E0:AF:99:D2:E2,-85,6,3:07:22pm
,,,,
eduroam,A0:E0:AF:99:D2:E2,-85,6,3:07:25pm
,,,,
eduroam,A0:E0:AF:99:D2:E2,-85,6,3:07:29pm
,,,,
eduroam,A0:E0:AF:99:D2:E2,-87,6,3:07:33pm
,,,,
eduroam,A0:E0:AF:99:D2:E2,-87,6,3:07:36pm
,,,,
eduroam,A0:E0:AF:99:D2:E2,-87,6,3:07:39pm
,,,,
eduroam,A0:E0:AF:99:D2:E2,-87,6,3:07:43pm
,,,,
