SSID,BSS,RSSI,Channel,Time
,,,,
Unifi,00:2A:10:8C:FD:5F,-82,44,12:55:28pm
,,,,
Unifi,00:2A:10:8C:FD:5F,-77,44,12:55:31pm
,,,,
Unifi,00:2A:10:8C:FD:5F,-81,44,12:55:33pm
,,,,
Unifi,00:2A:10:8C:FD:5F,-77,44,12:55:36pm
,,,,
Unifi,00:2A:10:8C:FD:5F,-79,44,12:55:38pm
,,,,
Unifi,00:2A:10:8C:FD:5F,-80,44,12:55:41pm
,,,,
Unifi,00:2A:10:8C:FD:5F,-80,44,12:55:44pm
,,,,
Unifi,00:2A:10:8C:FD:5F,-77,44,12:55:46pm
,,,,
Unifi,00:2A:10:8C:FD:5F,-75,44,12:55:49pm
,,,,
Unifi,00:2A:10:8C:FD:5F,-76,44,12:55:51pm
,,,,
Unifi,00:2A:10:8C:FD:5F,-68,44,12:55:54pm
,,,,
Unifi,00:2A:10:8C:FD:5F,-71,44,12:55:56pm
,,,,
Unifi,00:2A:10:8C:FD:5F,-73,44,12:55:59pm
,,,,
UnifiGuest,00:2C:C8:90:96:C1,-88,1,12:55:31pm
,,,,
UnifiGuest,00:2C:C8:90:96:C1,-88,1,12:55:33pm
,,,,
UnifiGuest,00:2C:C8:90:96:C1,-88,1,12:55:36pm
,,,,
UnifiGuest,00:2C:C8:90:96:C1,-88,1,12:55:38pm
,,,,
UnifiGuest,00:2C:C8:90:96:C1,-88,1,12:55:41pm
,,,,
UnifiGuest,00:2C:C8:90:96:C1,-88,1,12:55:44pm
,,,,
UnifiGuest,00:2C:C8:90:96:C1,-88,1,12:55:46pm
,,,,
UnifiGuest,00:2C:C8:90:96:C1,-88,1,12:55:49pm
,,,,
UnifiGuest,00:2C:C8:90:96:C1,-88,1,12:55:51pm
,,,,
UnifiGuest,00:2C:C8:90:96:C1,-88,1,12:55:54pm
,,,,
UnifiGuest,00:2C:C8:90:96:C1,-88,1,12:55:56pm
,,,,
UnifiGuest,00:2C:C8:90:96:C1,-88,1,12:55:59pm
,,,,
eduroam,00:2A:10:8C:FD:52,-80,1,12:55:28pm
,,,,
eduroam,00:2A:10:8C:FD:52,-75,1,12:55:31pm
,,,,
eduroam,00:2A:10:8C:FD:52,-77,1,12:55:33pm
,,,,
eduroam,00:2A:10:8C:FD:52,-79,1,12:55:36pm
,,,,
eduroam,00:2A:10:8C:FD:52,-77,1,12:55:38pm
,,,,
eduroam,00:2A:10:8C:FD:52,-79,1,12:55:41pm
,,,,
eduroam,00:2A:10:8C:FD:52,-78,1,12:55:44pm
,,,,
eduroam,00:2A:10:8C:FD:52,-77,1,12:55:46pm
,,,,
eduroam,00:2A:10:8C:FD:52,-77,1,12:55:49pm
,,,,
eduroam,00:2A:10:8C:FD:52,-76,1,12:55:51pm
,,,,
eduroam,00:2A:10:8C:FD:52,-77,1,12:55:54pm
,,,,
eduroam,00:2A:10:8C:FD:52,-78,1,12:55:56pm
,,,,
eduroam,00:2A:10:8C:FD:52,-78,1,12:55:59pm
,,,,
THz-Group,50:C7:BF:51:DB:67,-77,6,12:55:28pm
,,,,
THz-Group,50:C7:BF:51:DB:67,-88,6,12:55:31pm
,,,,
THz-Group,50:C7:BF:51:DB:67,-88,6,12:55:33pm
,,,,
THz-Group,50:C7:BF:51:DB:67,-88,6,12:55:36pm
,,,,
THz-Group,50:C7:BF:51:DB:67,-91,6,12:55:38pm
,,,,
THz-Group,50:C7:BF:51:DB:67,-91,6,12:55:41pm
,,,,
THz-Group,50:C7:BF:51:DB:67,-91,6,12:55:44pm
,,,,
THz-Group,50:C7:BF:51:DB:67,-88,6,12:55:46pm
,,,,
THz-Group,50:C7:BF:51:DB:67,-88,6,12:55:49pm
,,,,
THz-Group,50:C7:BF:51:DB:67,-88,6,12:55:51pm
,,,,
THz-Group,50:C7:BF:51:DB:67,-86,6,12:55:54pm
,,,,
THz-Group,50:C7:BF:51:DB:67,-89,6,12:55:56pm
,,,,
THz-Group,50:C7:BF:51:DB:67,-89,6,12:55:59pm
,,,,
nalu-mab,00:EA:BD:2B:59:81,-88,1,12:55:36pm
,,,,
nalu-mab,00:EA:BD:2B:59:81,-88,1,12:55:38pm
,,,,
nalu-mab,00:EA:BD:2B:59:81,-87,1,12:55:41pm
,,,,
nalu-mab,00:EA:BD:2B:59:81,-89,1,12:55:44pm
,,,,
nalu-mab,00:EA:BD:2B:59:81,-89,1,12:55:46pm
,,,,
