SSID,BSS,RSSI,Channel,Time
,,,,
eduroam,64:D8:14:72:47:3D,-87,153,12:25:31
,,,,
eduroam,64:D8:14:72:47:3D,-87,153,12:25:35
,,,,
eduroam,64:D8:14:72:47:3D,-87,153,12:25:39
,,,,
eduroam,64:D8:14:72:47:3D,-87,153,12:25:42
,,,,
eduroam,64:D8:14:72:47:3D,-87,153,12:25:46
,,,,
UnifiGuest,D8:B1:90:9E:E5:D1,-89,6,12:25:16
,,,,
UnifiGuest,D8:B1:90:9E:E5:D1,-89,6,12:25:20
,,,,
UnifiGuest,D8:B1:90:9E:E5:D1,-89,6,12:25:23
,,,,
UnifiGuest,D8:B1:90:9E:E5:D1,-89,6,12:25:27
,,,,
UnifiGuest,D8:B1:90:9E:E5:D1,-89,6,12:25:31
,,,,
UnifiGuest,D8:B1:90:9E:E5:D1,-89,6,12:25:35
,,,,
NET2118,B0:BE:76:2C:7E:13,-91,11,12:25:16
,,,,
NET2118,B0:BE:76:2C:7E:13,-91,11,12:25:20
,,,,
NET2118,B0:BE:76:2C:7E:13,-91,11,12:25:23
,,,,
NET2118,B0:BE:76:2C:7E:13,-91,11,12:25:42
,,,,
NET2118,B0:BE:76:2C:7E:13,-91,11,12:25:46
,,,,
UnifiGuest,A0:CF:5B:3C:2E:61,-67,11,12:25:16
,,,,
UnifiGuest,A0:CF:5B:3C:2E:61,-74,11,12:25:20
,,,,
UnifiGuest,A0:CF:5B:3C:2E:61,-66,11,12:25:23
,,,,
UnifiGuest,A0:CF:5B:3C:2E:61,-68,11,12:25:27
,,,,
UnifiGuest,A0:CF:5B:3C:2E:61,-69,11,12:25:31
,,,,
UnifiGuest,A0:CF:5B:3C:2E:61,-68,11,12:25:35
,,,,
UnifiGuest,A0:CF:5B:3C:2E:61,-80,11,12:25:39
,,,,
UnifiGuest,A0:CF:5B:3C:2E:61,-71,11,12:25:42
,,,,
UnifiGuest,A0:CF:5B:3C:2E:61,-73,11,12:25:46
,,,,
eduroam,A0:CF:5B:3F:13:D2,-91,1,12:25:16
,,,,
eduroam,A0:CF:5B:3F:13:D2,-87,1,12:25:20
,,,,
eduroam,A0:CF:5B:3F:13:D2,-84,1,12:25:23
,,,,
eduroam,A0:CF:5B:3F:13:D2,-86,1,12:25:27
,,,,
eduroam,A0:CF:5B:3F:13:D2,-86,1,12:25:31
,,,,
eduroam,A0:CF:5B:3F:13:D2,-86,1,12:25:35
,,,,
eduroam,A0:CF:5B:3F:13:D2,-86,1,12:25:39
,,,,
eduroam,A0:CF:5B:3F:13:D2,-86,1,12:25:42
,,,,
eduroam,A0:CF:5B:3F:13:D2,-86,1,12:25:46
,,,,
Unifi,D8:B1:90:9E:E5:D0,-90,6,12:25:16
,,,,
Unifi,D8:B1:90:9E:E5:D0,-90,6,12:25:20
,,,,
Unifi,D8:B1:90:9E:E5:D0,-90,6,12:25:23
,,,,
Unifi,D8:B1:90:9E:E5:D0,-90,6,12:25:27
,,,,
Unifi,D8:B1:90:9E:E5:D0,-90,6,12:25:31
,,,,
Unifi,D8:B1:90:9E:E5:D0,-90,6,12:25:35
,,,,
Unifi,A0:CF:5B:3C:2E:60,-70,11,12:25:16
,,,,
Unifi,A0:CF:5B:3C:2E:60,-67,11,12:25:20
,,,,
Unifi,A0:CF:5B:3C:2E:60,-66,11,12:25:23
,,,,
Unifi,A0:CF:5B:3C:2E:60,-67,11,12:25:27
,,,,
Unifi,A0:CF:5B:3C:2E:60,-71,11,12:25:31
,,,,
Unifi,A0:CF:5B:3C:2E:60,-78,11,12:25:35
,,,,
Unifi,A0:CF:5B:3C:2E:60,-69,11,12:25:39
,,,,
Unifi,A0:CF:5B:3C:2E:60,-79,11,12:25:42
,,,,
Unifi,A0:CF:5B:3C:2E:60,-64,11,12:25:46
,,,,
UnifiGuest,A0:CF:5B:3F:13:D1,-85,1,12:25:16
,,,,
UnifiGuest,A0:CF:5B:3F:13:D1,-87,1,12:25:20
,,,,
UnifiGuest,A0:CF:5B:3F:13:D1,-85,1,12:25:23
,,,,
UnifiGuest,A0:CF:5B:3F:13:D1,-85,1,12:25:27
,,,,
UnifiGuest,A0:CF:5B:3F:13:D1,-88,1,12:25:31
,,,,
UnifiGuest,A0:CF:5B:3F:13:D1,-87,1,12:25:35
,,,,
UnifiGuest,A0:CF:5B:3F:13:D1,-87,1,12:25:39
,,,,
UnifiGuest,A0:CF:5B:3F:13:D1,-87,1,12:25:42
,,,,
UnifiGuest,A0:CF:5B:3F:13:D1,-87,1,12:25:46
,,,,
Unifi,A0:CF:5B:3C:2E:6F,-66,161,12:25:16
,,,,
Unifi,A0:CF:5B:3C:2E:6F,-72,161,12:25:20
,,,,
Unifi,A0:CF:5B:3C:2E:6F,-76,161,12:25:23
,,,,
Unifi,A0:CF:5B:3C:2E:6F,-77,161,12:25:27
,,,,
Unifi,A0:CF:5B:3C:2E:6F,-67,161,12:25:31
,,,,
Unifi,A0:CF:5B:3C:2E:6F,-73,161,12:25:35
,,,,
Unifi,A0:CF:5B:3C:2E:6F,-72,161,12:25:39
,,,,
Unifi,A0:CF:5B:3C:2E:6F,-71,161,12:25:42
,,,,
Unifi,A0:CF:5B:3C:2E:6F,-71,161,12:25:46
,,,,
eduroam,D8:B1:90:A2:C3:22,-85,11,12:25:16
,,,,
eduroam,D8:B1:90:A2:C3:22,-85,11,12:25:20
,,,,
eduroam,D8:B1:90:A2:C3:22,-85,11,12:25:23
,,,,
eduroam,D8:B1:90:A2:C3:22,-85,11,12:25:27
,,,,
eduroam,D8:B1:90:A2:C3:22,-85,11,12:25:31
,,,,
eduroam,D8:B1:90:A2:C3:22,-85,11,12:25:35
,,,,
eduroam,D8:B1:90:A2:C3:22,-87,11,12:25:46
,,,,
Unifi,A0:CF:5B:3F:13:D0,-86,1,12:25:16
,,,,
Unifi,A0:CF:5B:3F:13:D0,-85,1,12:25:20
,,,,
Unifi,A0:CF:5B:3F:13:D0,-85,1,12:25:23
,,,,
Unifi,A0:CF:5B:3F:13:D0,-85,1,12:25:27
,,,,
Unifi,A0:CF:5B:3F:13:D0,-88,1,12:25:31
,,,,
Unifi,A0:CF:5B:3F:13:D0,-87,1,12:25:35
,,,,
Unifi,A0:CF:5B:3F:13:D0,-87,1,12:25:39
,,,,
Unifi,A0:CF:5B:3F:13:D0,-87,1,12:25:42
,,,,
Unifi,A0:CF:5B:3F:13:D0,-87,1,12:25:46
,,,,
UnifiGuest,A0:CF:5B:3C:2E:6E,-64,161,12:25:16
,,,,
UnifiGuest,A0:CF:5B:3C:2E:6E,-72,161,12:25:20
,,,,
UnifiGuest,A0:CF:5B:3C:2E:6E,-76,161,12:25:23
,,,,
UnifiGuest,A0:CF:5B:3C:2E:6E,-77,161,12:25:27
,,,,
UnifiGuest,A0:CF:5B:3C:2E:6E,-66,161,12:25:31
,,,,
UnifiGuest,A0:CF:5B:3C:2E:6E,-72,161,12:25:35
,,,,
UnifiGuest,A0:CF:5B:3C:2E:6E,-71,161,12:25:39
,,,,
UnifiGuest,A0:CF:5B:3C:2E:6E,-71,161,12:25:42
,,,,
UnifiGuest,A0:CF:5B:3C:2E:6E,-71,161,12:25:46
,,,,
Unifi,64:D8:14:72:47:3F,-87,153,12:25:23
,,,,
Unifi,64:D8:14:72:47:3F,-86,153,12:25:27
,,,,
Unifi,64:D8:14:72:47:3F,-86,153,12:25:31
,,,,
Unifi,64:D8:14:72:47:3F,-86,153,12:25:35
,,,,
Unifi,64:D8:14:72:47:3F,-86,153,12:25:39
,,,,
Unifi,64:D8:14:72:47:3F,-86,153,12:25:42
,,,,
Unifi,64:D8:14:72:47:3F,-86,153,12:25:46
,,,,
UnifiGuest,D8:B1:90:A2:C3:21,-85,11,12:25:16
,,,,
