SSID,BSS,RSSI,Channel,Time
,,,,
UnifiGuest,B8:62:1F:E9:01:FE,-90,40,12:52:26
,,,,
eduroam,A0:CF:5B:3F:7C:ED,-79,48,12:51:56
,,,,
eduroam,A0:CF:5B:3F:7C:ED,-86,48,12:52:00
,,,,
eduroam,A0:CF:5B:3F:7C:ED,-85,48,12:52:04
,,,,
eduroam,A0:CF:5B:3F:7C:ED,-86,48,12:52:09
,,,,
eduroam,A0:CF:5B:3F:7C:ED,-83,48,12:52:13
,,,,
eduroam,A0:CF:5B:3F:7C:ED,-83,48,12:52:17
,,,,
eduroam,A0:CF:5B:3F:7C:ED,-86,48,12:52:21
,,,,
eduroam,A0:CF:5B:3F:7C:ED,-83,48,12:52:26
,,,,
Unifi,A0:CF:5B:3F:7C:E0,-64,1,12:51:56
,,,,
Unifi,A0:CF:5B:3F:7C:E0,-67,1,12:52:00
,,,,
Unifi,A0:CF:5B:3F:7C:E0,-67,1,12:52:04
,,,,
Unifi,A0:CF:5B:3F:7C:E0,-70,1,12:52:09
,,,,
Unifi,A0:CF:5B:3F:7C:E0,-65,1,12:52:13
,,,,
Unifi,A0:CF:5B:3F:7C:E0,-73,1,12:52:17
,,,,
Unifi,A0:CF:5B:3F:7C:E0,-68,1,12:52:21
,,,,
Unifi,A0:CF:5B:3F:7C:E0,-69,1,12:52:26
,,,,
eduroam,B8:62:1F:E9:01:F2,-79,1,12:52:26
,,,,
ECM-DTC-919,D2:5E:F8:0F:4C:5F,-80,11,12:51:56
,,,,
ECM-DTC-919,D2:5E:F8:0F:4C:5F,-81,11,12:52:00
,,,,
ECM-DTC-919,D2:5E:F8:0F:4C:5F,-81,11,12:52:04
,,,,
ECM-DTC-919,D2:5E:F8:0F:4C:5F,-81,11,12:52:09
,,,,
ECM-DTC-919,D2:5E:F8:0F:4C:5F,-77,11,12:52:13
,,,,
ECM-DTC-919,D2:5E:F8:0F:4C:5F,-83,11,12:52:17
,,,,
ECM-DTC-919,D2:5E:F8:0F:4C:5F,-79,11,12:52:21
,,,,
ECM-DTC-919,D2:5E:F8:0F:4C:5F,-75,11,12:52:26
,,,,
UnifiGuest,A0:CF:5B:3F:7C:EE,-79,48,12:51:56
,,,,
UnifiGuest,A0:CF:5B:3F:7C:EE,-79,48,12:52:00
,,,,
UnifiGuest,A0:CF:5B:3F:7C:EE,-84,48,12:52:04
,,,,
UnifiGuest,A0:CF:5B:3F:7C:EE,-86,48,12:52:09
,,,,
UnifiGuest,A0:CF:5B:3F:7C:EE,-83,48,12:52:13
,,,,
UnifiGuest,A0:CF:5B:3F:7C:EE,-89,48,12:52:17
,,,,
UnifiGuest,A0:CF:5B:3F:7C:EE,-87,48,12:52:21
,,,,
UnifiGuest,A0:CF:5B:3F:7C:EE,-82,48,12:52:26
,,,,
UnifiGuest,A0:CF:5B:3F:7C:E1,-78,1,12:51:56
,,,,
UnifiGuest,A0:CF:5B:3F:7C:E1,-72,1,12:52:00
,,,,
UnifiGuest,A0:CF:5B:3F:7C:E1,-60,1,12:52:04
,,,,
UnifiGuest,A0:CF:5B:3F:7C:E1,-63,1,12:52:09
,,,,
UnifiGuest,A0:CF:5B:3F:7C:E1,-70,1,12:52:13
,,,,
UnifiGuest,A0:CF:5B:3F:7C:E1,-67,1,12:52:17
,,,,
UnifiGuest,A0:CF:5B:3F:7C:E1,-64,1,12:52:21
,,,,
