SSID,BSS,RSSI,Channel,Time
,,,,
UnifiGuest,78:72:5D:77:F2:EE,-75,56,3:16:00pm
,,,,
UnifiGuest,78:72:5D:77:F2:EE,-80,56,3:16:04pm
,,,,
UnifiGuest,78:72:5D:77:F2:EE,-80,56,3:16:08pm
,,,,
UnifiGuest,78:72:5D:77:F2:EE,-79,56,3:16:11pm
,,,,
UnifiGuest,78:72:5D:77:F2:EE,-77,56,3:16:14pm
,,,,
UnifiGuest,78:72:5D:77:F2:EE,-76,56,3:16:17pm
,,,,
UnifiGuest,78:72:5D:77:F2:EE,-76,56,3:16:20pm
,,,,
UnifiGuest,78:72:5D:77:F2:EE,-82,56,3:16:24pm
,,,,
UnifiGuest,78:72:5D:77:F2:EE,-80,56,3:16:27pm
,,,,
UnifiGuest,78:72:5D:77:F2:EE,-77,56,3:16:30pm
,,,,
UnifiGuest,78:72:5D:77:F2:EE,-75,56,3:16:34pm
,,,,
UnifiGuest,78:72:5D:77:F2:EE,-76,56,3:16:39pm
,,,,
UnifiGuest,78:72:5D:77:F2:EE,-76,56,3:16:42pm
,,,,
UnifiGuest,78:72:5D:77:F2:EE,-76,56,3:16:45pm
,,,,
eduroam,58:AC:78:F4:AC:02,-71,6,3:16:00pm
,,,,
eduroam,58:AC:78:F4:AC:02,-71,6,3:16:04pm
,,,,
eduroam,58:AC:78:F4:AC:02,-71,6,3:16:08pm
,,,,
eduroam,58:AC:78:F4:AC:02,-71,6,3:16:11pm
,,,,
eduroam,58:AC:78:F4:AC:02,-71,6,3:16:14pm
,,,,
eduroam,A0:CF:5B:3D:7B:1D,-89,40,3:16:00pm
,,,,
eduroam,A0:CF:5B:3D:7B:1D,-89,40,3:16:04pm
,,,,
eduroam,A0:CF:5B:3D:7B:1D,-89,40,3:16:08pm
,,,,
eduroam,A0:CF:5B:3D:7B:1D,-89,40,3:16:11pm
,,,,
eduroam,A0:CF:5B:3D:7B:1D,-89,40,3:16:14pm
,,,,
eduroam,A0:CF:5B:3D:7B:1D,-89,40,3:16:17pm
,,,,
eduroam,A0:CF:5B:3D:7B:1D,-89,40,3:16:20pm
,,,,
eduroam,A0:CF:5B:3D:7B:1D,-89,40,3:16:24pm
,,,,
eduroam,A0:CF:5B:3D:7B:1D,-89,40,3:16:27pm
,,,,
eduroam,A0:CF:5B:3D:7B:1D,-89,40,3:16:30pm
,,,,
Unifi,78:72:5D:77:F2:EF,-75,56,3:16:00pm
,,,,
Unifi,78:72:5D:77:F2:EF,-80,56,3:16:04pm
,,,,
Unifi,78:72:5D:77:F2:EF,-80,56,3:16:08pm
,,,,
Unifi,78:72:5D:77:F2:EF,-78,56,3:16:11pm
,,,,
Unifi,78:72:5D:77:F2:EF,-77,56,3:16:14pm
,,,,
Unifi,78:72:5D:77:F2:EF,-76,56,3:16:17pm
,,,,
Unifi,78:72:5D:77:F2:EF,-76,56,3:16:20pm
,,,,
Unifi,78:72:5D:77:F2:EF,-82,56,3:16:24pm
,,,,
Unifi,78:72:5D:77:F2:EF,-80,56,3:16:27pm
,,,,
Unifi,78:72:5D:77:F2:EF,-77,56,3:16:30pm
,,,,
Unifi,78:72:5D:77:F2:EF,-75,56,3:16:34pm
,,,,
Unifi,78:72:5D:77:F2:EF,-76,56,3:16:39pm
,,,,
Unifi,78:72:5D:77:F2:EF,-76,56,3:16:42pm
,,,,
Unifi,78:72:5D:77:F2:EF,-76,56,3:16:45pm
,,,,
Unifi,A0:CF:5B:3D:7B:10,-81,1,3:16:00pm
,,,,
Unifi,A0:CF:5B:3D:7B:10,-81,1,3:16:04pm
,,,,
Unifi,A0:CF:5B:3D:7B:10,-81,1,3:16:08pm
,,,,
Unifi,A0:CF:5B:3D:7B:10,-81,1,3:16:11pm
,,,,
Unifi,A0:CF:5B:3D:7B:10,-81,1,3:16:14pm
,,,,
Unifi,A0:CF:5B:3D:7B:10,-81,1,3:16:17pm
,,,,
Unifi,A0:CF:5B:3D:7B:10,-81,1,3:16:20pm
,,,,
StoraSmartBench,64:D1:54:33:FC:50,-80,3,3:16:00pm
,,,,
StoraSmartBench,64:D1:54:33:FC:50,-81,3,3:16:04pm
,,,,
StoraSmartBench,64:D1:54:33:FC:50,-80,3,3:16:08pm
,,,,
