SSID,BSS,RSSI,Channel,Time
,,,,
Unifi,4C:71:0D:1F:E5:8F,-83,36,3:12:34pm
,,,,
Unifi,4C:71:0D:1F:E5:8F,-83,36,3:12:39pm
,,,,
Unifi,4C:71:0D:1F:E5:8F,-83,36,3:12:44pm
,,,,
Unifi,4C:71:0D:1F:E5:8F,-83,36,3:12:50pm
,,,,
Unifi,4C:71:0D:1F:E5:8F,-83,36,3:12:55pm
,,,,
eduroam,74:88:BB:86:37:4D,-81,44,3:12:22pm
,,,,
eduroam,74:88:BB:86:37:4D,-84,44,3:12:25pm
,,,,
eduroam,74:88:BB:86:37:4D,-79,44,3:12:30pm
,,,,
eduroam,74:88:BB:86:37:4D,-78,44,3:12:34pm
,,,,
eduroam,74:88:BB:86:37:4D,-78,44,3:12:39pm
,,,,
eduroam,74:88:BB:86:37:4D,-76,44,3:12:44pm
,,,,
eduroam,74:88:BB:86:37:4D,-83,44,3:12:50pm
,,,,
eduroam,74:88:BB:86:37:4D,-78,44,3:12:55pm
,,,,
eduroam,74:88:BB:86:3B:0D,-88,40,3:12:22pm
,,,,
eduroam,74:88:BB:86:3B:0D,-88,40,3:12:25pm
,,,,
eduroam,74:88:BB:86:3B:0D,-89,40,3:12:30pm
,,,,
eduroam,74:88:BB:86:3B:0D,-88,40,3:12:34pm
,,,,
eduroam,74:88:BB:86:3B:0D,-84,40,3:12:39pm
,,,,
eduroam,74:88:BB:86:3B:0D,-84,40,3:12:44pm
,,,,
eduroam,74:88:BB:86:3B:0D,-84,40,3:12:50pm
,,,,
eduroam,74:88:BB:86:3B:0D,-85,40,3:12:55pm
,,,,
UnifiGuest,08:EC:F5:EF:BB:A1,-78,1,3:12:39pm
,,,,
UnifiGuest,08:EC:F5:EF:BB:A1,-78,1,3:12:44pm
,,,,
UnifiGuest,08:EC:F5:EF:BB:A1,-76,1,3:12:50pm
,,,,
UnifiGuest,08:EC:F5:EF:BB:A1,-76,1,3:12:55pm
,,,,
Unifi,4C:71:0D:1F:E5:4F,-89,36,3:12:25pm
,,,,
Unifi,4C:71:0D:1F:E5:4F,-89,36,3:12:30pm
,,,,
Unifi,4C:71:0D:1F:E5:4F,-89,36,3:12:34pm
,,,,
Unifi,4C:71:0D:1F:E5:4F,-89,36,3:12:39pm
,,,,
Unifi,4C:71:0D:1F:E5:4F,-89,36,3:12:44pm
,,,,
Unifi,4C:71:0D:1F:E5:4F,-89,36,3:12:50pm
,,,,
eduroam,4C:71:0D:4D:27:AD,-78,36,3:12:30pm
,,,,
eduroam,4C:71:0D:4D:27:AD,-81,36,3:12:34pm
,,,,
eduroam,4C:71:0D:4D:27:AD,-81,36,3:12:39pm
,,,,
eduroam,4C:71:0D:4D:27:AD,-81,36,3:12:44pm
,,,,
eduroam,4C:71:0D:4D:27:AD,-81,36,3:12:50pm
,,,,
eduroam,4C:71:0D:4D:27:AD,-81,36,3:12:55pm
,,,,
UnifiGuest,08:EC:F5:EF:B9:0E,-78,157,3:12:22pm
,,,,
UnifiGuest,08:EC:F5:EF:B9:0E,-77,157,3:12:25pm
,,,,
UnifiGuest,08:EC:F5:EF:B9:0E,-74,157,3:12:30pm
,,,,
UnifiGuest,08:EC:F5:EF:B9:0E,-80,157,3:12:34pm
,,,,
UnifiGuest,08:EC:F5:EF:B9:0E,-77,157,3:12:39pm
,,,,
UnifiGuest,08:EC:F5:EF:B9:0E,-77,157,3:12:44pm
,,,,
UnifiGuest,08:EC:F5:EF:B9:0E,-76,157,3:12:50pm
,,,,
UnifiGuest,08:EC:F5:EF:B9:0E,-75,157,3:12:55pm
,,,,
eduroam,74:88:BB:86:48:ED,-72,52,3:12:22pm
,,,,
eduroam,74:88:BB:86:48:ED,-71,52,3:12:25pm
,,,,
eduroam,74:88:BB:86:48:ED,-73,52,3:12:30pm
,,,,
eduroam,74:88:BB:86:48:ED,-73,52,3:12:34pm
,,,,
eduroam,74:88:BB:86:48:ED,-69,52,3:12:39pm
,,,,
eduroam,74:88:BB:86:48:ED,-72,52,3:12:44pm
,,,,
eduroam,74:88:BB:86:48:ED,-72,52,3:12:50pm
,,,,
eduroam,74:88:BB:86:48:ED,-70,52,3:12:55pm
,,,,
UnifiGuest,4C:71:0D:3F:65:0E,-84,149,3:12:22pm
,,,,
UnifiGuest,4C:71:0D:3F:65:0E,-81,149,3:12:25pm
,,,,
UnifiGuest,4C:71:0D:3F:65:0E,-81,149,3:12:30pm
,,,,
UnifiGuest,4C:71:0D:3F:65:0E,-83,149,3:12:34pm
,,,,
UnifiGuest,4C:71:0D:3F:65:0E,-83,149,3:12:39pm
,,,,
UnifiGuest,4C:71:0D:3F:65:0E,-83,149,3:12:44pm
,,,,
UnifiGuest,4C:71:0D:3F:65:0E,-83,149,3:12:50pm
,,,,
UnifiGuest,4C:71:0D:3F:65:0E,-85,149,3:12:55pm
,,,,
eduroam,10:B3:D5:DC:6D:CD,-85,149,3:12:22pm
,,,,
eduroam,10:B3:D5:DC:6D:CD,-85,149,3:12:25pm
,,,,
eduroam,10:B3:D5:DC:6D:CD,-85,149,3:12:30pm
,,,,
eduroam,10:B3:D5:DC:6D:CD,-85,149,3:12:34pm
,,,,
eduroam,10:B3:D5:DC:6D:CD,-82,149,3:12:39pm
,,,,
eduroam,10:B3:D5:DC:6D:CD,-82,149,3:12:44pm
,,,,
eduroam,10:B3:D5:DC:6D:CD,-82,149,3:12:50pm
,,,,
eduroam,10:B3:D5:DC:6D:CD,-89,149,3:12:55pm
,,,,
eduroam,4C:71:0D:1F:E5:82,-70,1,3:12:22pm
,,,,
eduroam,4C:71:0D:1F:E5:82,-70,1,3:12:25pm
,,,,
eduroam,4C:71:0D:1F:E5:82,-73,1,3:12:30pm
,,,,
eduroam,4C:71:0D:1F:E5:82,-73,1,3:12:34pm
,,,,
eduroam,4C:71:0D:1F:E5:82,-71,1,3:12:39pm
,,,,
eduroam,4C:71:0D:1F:E5:82,-71,1,3:12:44pm
,,,,
eduroam,4C:71:0D:1F:E5:82,-71,1,3:12:50pm
,,,,
eduroam,4C:71:0D:1F:E5:82,-71,1,3:12:55pm
,,,,
Unifi,74:88:BB:86:37:40,-85,1,3:12:34pm
,,,,
Unifi,74:88:BB:86:37:40,-85,1,3:12:39pm
,,,,
Unifi,74:88:BB:86:37:40,-85,1,3:12:44pm
,,,,
Unifi,74:88:BB:86:37:40,-85,1,3:12:50pm
,,,,
Unifi,74:88:BB:86:37:40,-85,1,3:12:55pm
,,,,
UnifiIOT,74:88:BB:86:2E:8C,-77,157,3:12:22pm
,,,,
UnifiIOT,74:88:BB:86:2E:8C,-82,157,3:12:25pm
,,,,
UnifiIOT,74:88:BB:86:2E:8C,-82,157,3:12:30pm
,,,,
UnifiIOT,74:88:BB:86:2E:8C,-75,157,3:12:34pm
,,,,
UnifiIOT,74:88:BB:86:2E:8C,-73,157,3:12:39pm
,,,,
