SSID,BSS,RSSI,Channel,Time
,,,,
eduroam,E8:65:49:3E:DB:FD,-78,149,3:10:03PM
,,,,
eduroam,E8:65:49:3E:DB:FD,-82,149,3:10:06PM
,,,,
eduroam,E8:65:49:3E:DB:FD,-82,149,3:10:10PM
,,,,
eduroam,E8:65:49:3E:DB:FD,-84,149,3:10:14PM
,,,,
eduroam,E8:65:49:3E:DB:FD,-84,149,3:10:18PM
,,,,
eduroam,E8:65:49:3E:DB:FD,-85,149,3:10:22PM
,,,,
eduroam,E8:65:49:3E:DB:FD,-86,149,3:10:26PM
,,,,
eduroam,E8:65:49:3E:DB:FD,-84,149,3:10:29PM
,,,,
eduroam,E8:65:49:3E:DB:FD,-84,149,3:10:33PM
,,,,
Unifi,E8:65:49:3E:DB:F0,-75,1,3:10:03PM
,,,,
Unifi,E8:65:49:3E:DB:F0,-69,1,3:10:06PM
,,,,
Unifi,E8:65:49:3E:DB:F0,-71,1,3:10:10PM
,,,,
Unifi,E8:65:49:3E:DB:F0,-70,1,3:10:14PM
,,,,
Unifi,E8:65:49:3E:DB:F0,-73,1,3:10:18PM
,,,,
Unifi,E8:65:49:3E:DB:F0,-72,1,3:10:22PM
,,,,
Unifi,E8:65:49:3E:DB:F0,-73,1,3:10:26PM
,,,,
Unifi,E8:65:49:3E:DB:F0,-73,1,3:10:29PM
,,,,
Unifi,E8:65:49:3E:DB:F0,-77,1,3:10:33PM
,,,,
UnifiGuest,E8:65:49:2B:13:51,-90,6,3:10:03PM
,,,,
UnifiGuest,E8:65:49:2B:13:51,-90,6,3:10:06PM
,,,,
UnifiGuest,E8:65:49:2B:13:51,-90,6,3:10:10PM
,,,,
UnifiGuest,E8:65:49:3E:DB:FE,-78,149,3:10:03PM
,,,,
UnifiGuest,E8:65:49:3E:DB:FE,-83,149,3:10:06PM
,,,,
UnifiGuest,E8:65:49:3E:DB:FE,-82,149,3:10:10PM
,,,,
UnifiGuest,E8:65:49:3E:DB:FE,-84,149,3:10:14PM
,,,,
UnifiGuest,E8:65:49:3E:DB:FE,-83,149,3:10:18PM
,,,,
UnifiGuest,E8:65:49:3E:DB:FE,-84,149,3:10:22PM
,,,,
UnifiGuest,E8:65:49:3E:DB:FE,-84,149,3:10:26PM
,,,,
UnifiGuest,E8:65:49:3E:DB:FE,-83,149,3:10:29PM
,,,,
UnifiGuest,E8:65:49:3E:DB:FE,-85,149,3:10:33PM
,,,,
UnifiGuest,E8:65:49:3E:DB:F1,-73,1,3:10:03PM
,,,,
UnifiGuest,E8:65:49:3E:DB:F1,-75,1,3:10:06PM
,,,,
UnifiGuest,E8:65:49:3E:DB:F1,-70,1,3:10:10PM
,,,,
UnifiGuest,E8:65:49:3E:DB:F1,-70,1,3:10:14PM
,,,,
UnifiGuest,E8:65:49:3E:DB:F1,-71,1,3:10:18PM
,,,,
UnifiGuest,E8:65:49:3E:DB:F1,-73,1,3:10:22PM
,,,,
UnifiGuest,E8:65:49:3E:DB:F1,-71,1,3:10:26PM
,,,,
UnifiGuest,E8:65:49:3E:DB:F1,-72,1,3:10:29PM
,,,,
UnifiGuest,E8:65:49:3E:DB:F1,-73,1,3:10:33PM
,,,,
eduroam,E8:65:49:2B:13:52,-89,6,3:10:03PM
,,,,
eduroam,E8:65:49:2B:13:52,-89,6,3:10:06PM
,,,,
eduroam,E8:65:49:2B:13:52,-89,6,3:10:10PM
,,,,
Unifi,80:E8:6F:E3:49:20,-81,1,3:10:03PM
,,,,
Unifi,80:E8:6F:E3:49:20,-81,1,3:10:06PM
,,,,
Unifi,80:E8:6F:E3:49:20,-81,1,3:10:10PM
,,,,
Unifi,38:ED:18:D0:F0:40,-89,1,3:10:03PM
,,,,
Unifi,38:ED:18:D0:F0:40,-89,1,3:10:06PM
,,,,
Unifi,38:ED:18:D0:F0:40,-89,1,3:10:10PM
,,,,
Unifi,38:ED:18:D0:F0:40,-89,1,3:10:14PM
,,,,
Unifi,E8:65:49:3E:DB:FF,-78,149,3:10:03PM
,,,,
Unifi,E8:65:49:3E:DB:FF,-81,149,3:10:06PM
,,,,
Unifi,E8:65:49:3E:DB:FF,-81,149,3:10:10PM
,,,,
Unifi,E8:65:49:3E:DB:FF,-83,149,3:10:14PM
,,,,
Unifi,E8:65:49:3E:DB:FF,-84,149,3:10:18PM
,,,,
Unifi,E8:65:49:3E:DB:FF,-86,149,3:10:22PM
,,,,
Unifi,E8:65:49:3E:DB:FF,-86,149,3:10:26PM
,,,,
