SSID,BSS,RSSI,Channel,Time
,,,,
Unifi,70:EA:1A:4D:25:00,-84,11,15:25:57
,,,,
Unifi,70:EA:1A:4D:25:00,-84,11,15:26:02
,,,,
Unifi,70:EA:1A:4D:25:00,-84,11,15:26:06
,,,,
Unifi,70:EA:1A:4D:25:00,-84,11,15:26:11
,,,,
Unifi,70:EA:1A:4D:25:00,-84,11,15:26:15
,,,,
Unifi,70:EA:1A:4D:25:00,-84,11,15:26:20
,,,,
UnifiGuest,70:EA:1A:0E:07:8E,-85,44,15:25:53
,,,,
UnifiGuest,70:EA:1A:0E:07:8E,-79,44,15:25:57
,,,,
UnifiGuest,70:EA:1A:0E:07:8E,-79,44,15:26:02
,,,,
UnifiGuest,70:EA:1A:0E:07:8E,-84,44,15:26:06
,,,,
UnifiGuest,70:EA:1A:0E:07:8E,-84,44,15:26:11
,,,,
UnifiGuest,70:EA:1A:0E:07:8E,-87,44,15:26:15
,,,,
UnifiGuest,70:EA:1A:0E:07:8E,-87,44,15:26:20
,,,,
UnifiGuest,70:EA:1A:0E:07:8E,-87,44,15:26:25
,,,,
eduroam,70:EA:1A:0D:FB:0D,-84,36,15:25:53
,,,,
eduroam,70:EA:1A:0D:FB:0D,-84,36,15:25:57
,,,,
eduroam,70:EA:1A:0D:FB:0D,-85,36,15:26:02
,,,,
eduroam,70:EA:1A:0D:FB:0D,-89,36,15:26:06
,,,,
eduroam,70:EA:1A:0D:FB:0D,-89,36,15:26:11
,,,,
eduroam,70:EA:1A:0D:FB:0D,-89,36,15:26:15
,,,,
eduroam,70:EA:1A:0D:FB:0D,-89,36,15:26:20
,,,,
eduroam,70:EA:1A:0D:FB:0D,-78,36,15:26:25
,,,,
UnifiGuest,70:EA:1A:03:09:61,-88,1,15:26:11
,,,,
UnifiGuest,70:EA:1A:03:09:61,-88,1,15:26:15
,,,,
UnifiGuest,70:EA:1A:03:09:61,-88,1,15:26:20
,,,,
UnifiGuest,70:EA:1A:03:09:61,-87,1,15:26:25
,,,,
eduroam,D4:C9:3C:E8:EF:22,-83,6,15:25:57
