SSID,BSS,RSSI,Channel,Time
,,,,
Unifi,A0:CF:5B:3F:88:B0,-74,6,3:13:26PM
,,,,
Unifi,A0:CF:5B:3F:88:B0,-68,6,3:13:29PM
,,,,
Unifi,A0:CF:5B:3F:88:B0,-69,6,3:13:33PM
,,,,
Unifi,A0:CF:5B:3F:88:B0,-70,6,3:13:37PM
,,,,
Unifi,A0:CF:5B:3F:88:B0,-69,6,3:13:41PM
,,,,
Unifi,A0:CF:5B:3F:88:B0,-69,6,3:13:45PM
,,,,
Unifi,A0:CF:5B:3F:88:B0,-63,6,3:13:48PM
,,,,
Unifi,A0:CF:5B:3F:88:B0,-65,6,3:13:52PM
,,,,
Unifi,A0:CF:5B:3F:88:B0,-68,6,3:13:56PM
,,,,
eduroam,84:80:2D:EC:05:D2,-85,11,3:13:26PM
,,,,
Unifi,E8:65:49:3D:35:70,-88,11,3:13:26PM
,,,,
Unifi,E8:65:49:3D:35:70,-88,11,3:13:29PM
,,,,
Unifi,E8:65:49:3D:35:70,-88,11,3:13:33PM
,,,,
Unifi,E8:65:49:3D:35:70,-88,11,3:13:37PM
,,,,
Unifi,E8:65:49:3D:35:70,-88,11,3:13:41PM
,,,,
Unifi,E8:65:49:3D:35:70,-88,11,3:13:45PM
,,,,
UWA-physics-weather-station,52:E0:85:C9:42:85,-92,1,3:13:26PM
,,,,
UWA-physics-weather-station,52:E0:85:C9:42:85,-92,1,3:13:29PM
,,,,
UWA-physics-weather-station,52:E0:85:C9:42:85,-92,1,3:13:33PM
,,,,
UWA-physics-weather-station,52:E0:85:C9:42:85,-90,1,3:13:37PM
,,,,
UWA-physics-weather-station,52:E0:85:C9:42:85,-91,1,3:13:41PM
,,,,
UWA-physics-weather-station,52:E0:85:C9:42:85,-91,1,3:13:45PM
,,,,
UWA-physics-weather-station,52:E0:85:C9:42:85,-91,1,3:13:48PM
,,,,
UWA-physics-weather-station,52:E0:85:C9:42:85,-91,1,3:13:52PM
,,,,
UWA-physics-weather-station,52:E0:85:C9:42:85,-91,1,3:13:56PM
,,,,
THz-Group,50:C7:BF:51:DB:67,-94,6,3:13:26PM
,,,,
THz-Group,50:C7:BF:51:DB:67,-93,6,3:13:29PM
,,,,
THz-Group,50:C7:BF:51:DB:67,-93,6,3:13:33PM
,,,,
THz-Group,50:C7:BF:51:DB:67,-93,6,3:13:37PM
,,,,
THz-Group,50:C7:BF:51:DB:67,-95,6,3:13:41PM
,,,,
THz-Group,50:C7:BF:51:DB:67,-95,6,3:13:45PM
,,,,
THz-Group,50:C7:BF:51:DB:67,-95,6,3:13:48PM
,,,,
THz-Group,50:C7:BF:51:DB:67,-95,6,3:13:52PM
,,,,
THz-Group,50:C7:BF:51:DB:67,-95,6,3:13:56PM
,,,,
UnifiGuest,A0:CF:5B:3F:88:BE,-90,161,3:13:56PM
,,,,
UnifiGuest,A0:CF:5B:3F:88:B1,-71,6,3:13:26PM
,,,,
UnifiGuest,A0:CF:5B:3F:88:B1,-69,6,3:13:29PM
,,,,
UnifiGuest,A0:CF:5B:3F:88:B1,-67,6,3:13:33PM
,,,,
UnifiGuest,A0:CF:5B:3F:88:B1,-66,6,3:13:37PM
,,,,
UnifiGuest,A0:CF:5B:3F:88:B1,-67,6,3:13:41PM
,,,,
UnifiGuest,A0:CF:5B:3F:88:B1,-65,6,3:13:45PM
,,,,
UnifiGuest,A0:CF:5B:3F:88:B1,-68,6,3:13:48PM
,,,,
UnifiGuest,A0:CF:5B:3F:88:B1,-64,6,3:13:52PM
,,,,
UnifiGuest,A0:CF:5B:3F:88:B1,-65,6,3:13:56PM
,,,,
UnifiGuest,E8:65:49:3D:35:71,-89,11,3:13:26PM
,,,,
UnifiGuest,E8:65:49:3D:35:71,-89,11,3:13:29PM
,,,,
UnifiGuest,E8:65:49:3D:35:71,-89,11,3:13:33PM
,,,,
UnifiGuest,E8:65:49:3D:35:71,-89,11,3:13:37PM
,,,,
UnifiGuest,E8:65:49:3D:35:71,-90,11,3:13:41PM
,,,,
UnifiGuest,E8:65:49:3D:35:71,-90,11,3:13:45PM
,,,,
UnifiGuest,E8:65:49:3D:35:71,-90,11,3:13:48PM
,,,,
UnifiGuest,E8:65:49:3D:35:71,-90,11,3:13:52PM
,,,,
UnifiGuest,E8:65:49:3D:35:71,-90,11,3:13:56PM
,,,,
Unifi,7C:21:0E:3E:6A:A0,-89,6,3:13:26PM
,,,,
Unifi,7C:21:0E:3E:6A:A0,-89,6,3:13:29PM
,,,,
Unifi,7C:21:0E:3E:6A:A0,-89,6,3:13:33PM
,,,,
Unifi,7C:21:0E:3E:6A:A0,-88,6,3:13:37PM
,,,,
Unifi,7C:21:0E:3E:6A:A0,-88,6,3:13:41PM
,,,,
Unifi,7C:21:0E:3E:6A:A0,-89,6,3:13:45PM
,,,,
Unifi,7C:21:0E:3E:6A:A0,-89,6,3:13:48PM
,,,,
Unifi,7C:21:0E:3E:6A:A0,-89,6,3:13:52PM
,,,,
Unifi,7C:21:0E:3E:6A:A0,-89,6,3:13:56PM
