SSID,BSS,RSSI,Channel,Time
,,,,
Unifi,00:2C:C8:B0:40:80,-82,6,3:18:34pm
,,,,
Unifi,00:2C:C8:B0:40:80,-82,6,3:18:37pm
,,,,
Unifi,00:2C:C8:B0:40:80,-82,6,3:18:40pm
,,,,
Unifi,64:D8:14:72:47:3F,-79,153,3:18:10pm
,,,,
Unifi,64:D8:14:72:47:3F,-79,153,3:18:12pm
,,,,
Unifi,64:D8:14:72:47:3F,-79,153,3:18:17pm
,,,,
Unifi,64:D8:14:72:47:3F,-79,153,3:18:20pm
,,,,
Unifi,64:D8:14:72:47:3F,-79,153,3:18:22pm
,,,,
Unifi,64:D8:14:72:47:3F,-79,153,3:18:25pm
,,,,
Unifi,64:D8:14:72:47:3F,-79,153,3:18:29pm
,,,,
LGF0G0220,80:3F:5D:19:34:F6,-86,1,3:18:10pm
,,,,
LGF0G0220,80:3F:5D:19:34:F6,-85,1,3:18:12pm
,,,,
LGF0G0220,80:3F:5D:19:34:F6,-86,1,3:18:17pm
,,,,
LGF0G0220,80:3F:5D:19:34:F6,-85,1,3:18:20pm
,,,,
LGF0G0220,80:3F:5D:19:34:F6,-82,1,3:18:22pm
,,,,
LGF0G0220,80:3F:5D:19:34:F6,-87,1,3:18:25pm
,,,,
LGF0G0220,80:3F:5D:19:34:F6,-89,1,3:18:29pm
,,,,
LGF0G0220,80:3F:5D:19:34:F6,-88,1,3:18:32pm
,,,,
LGF0G0220,80:3F:5D:19:34:F6,-88,1,3:18:34pm
,,,,
LGF0G0220,80:3F:5D:19:34:F6,-90,1,3:18:37pm
,,,,
LGF0G0220,80:3F:5D:19:34:F6,-87,1,3:18:40pm
,,,,
eduroam,2C:33:11:6A:31:C2,-78,1,3:18:10pm
,,,,
eduroam,2C:33:11:6A:31:C2,-78,1,3:18:12pm
,,,,
eduroam,2C:33:11:6A:31:C2,-78,1,3:18:17pm
,,,,
eduroam,2C:33:11:6A:31:C2,-78,1,3:18:20pm
,,,,
eduroam,2C:33:11:6A:31:C2,-78,1,3:18:22pm
,,,,
eduroam,2C:33:11:6A:31:C2,-78,1,3:18:25pm
,,,,
eduroam,2C:33:11:6A:31:C2,-83,1,3:18:29pm
,,,,
eduroam,2C:33:11:6A:31:C2,-83,1,3:18:32pm
,,,,
eduroam,2C:33:11:6A:31:C2,-83,1,3:18:34pm
,,,,
eduroam,2C:33:11:6A:31:C2,-83,1,3:18:37pm
,,,,
eduroam,2C:33:11:6A:31:C2,-83,1,3:18:40pm
,,,,
UnifiGuest,00:2C:C8:BC:2D:41,-80,11,3:18:10pm
,,,,
eduroam,70:DB:98:AA:EF:AD,-89,56,3:18:20pm
,,,,
eduroam,70:DB:98:AA:EF:AD,-89,56,3:18:22pm
,,,,
eduroam,70:DB:98:AA:EF:AD,-89,56,3:18:25pm
,,,,
eduroam,70:DB:98:AA:EF:AD,-87,56,3:18:29pm
,,,,
eduroam,70:DB:98:AA:EF:AD,-86,56,3:18:32pm
,,,,
eduroam,70:DB:98:AA:EF:AD,-86,56,3:18:34pm
,,,,
eduroam,70:DB:98:AA:EF:AD,-86,56,3:18:37pm
,,,,
eduroam,70:DB:98:AA:EF:AD,-86,56,3:18:40pm
,,,,
Unifi,70:DB:98:AA:EF:A0,-86,11,3:18:12pm
,,,,
Unifi,70:DB:98:AA:EF:A0,-86,11,3:18:17pm
,,,,
Unifi,70:DB:98:AA:EF:A0,-86,11,3:18:20pm
,,,,
Unifi,70:DB:98:AA:EF:A0,-86,11,3:18:22pm
,,,,
Unifi,70:DB:98:AA:EF:A0,-86,11,3:18:25pm
,,,,
Unifi,70:DB:98:AA:EF:A0,-86,11,3:18:29pm
,,,,
Unifi,70:DB:98:AA:EF:A0,-86,11,3:18:32pm
,,,,
Unifi,70:DB:98:AA:EF:A0,-86,11,3:18:34pm
,,,,
Unifi,70:DB:98:AA:EF:A0,-86,11,3:18:37pm
,,,,
Unifi,70:DB:98:AA:EF:A0,-86,11,3:18:40pm
,,,,
eduroam,70:DB:98:9A:20:6D,-92,40,3:18:12pm
,,,,
eduroam,70:DB:98:9A:20:6D,-90,40,3:18:17pm
,,,,
eduroam,70:DB:98:9A:20:6D,-90,40,3:18:20pm
,,,,
eduroam,70:DB:98:9A:20:6D,-90,40,3:18:22pm
,,,,
eduroam,70:DB:98:9A:20:6D,-91,40,3:18:25pm
,,,,
eduroam,70:DB:98:9A:20:6D,-91,40,3:18:29pm
,,,,
eduroam,70:DB:98:9A:20:6D,-91,40,3:18:32pm
,,,,
eduroam,70:DB:98:9A:20:6D,-91,40,3:18:34pm
,,,,
eduroam,70:DB:98:9A:20:6D,-91,40,3:18:37pm
,,,,
eduroam,70:DB:98:9A:20:6D,-91,40,3:18:40pm
,,,,
LGF0G0005,80:3F:5D:19:35:37,-87,1,3:18:10pm
,,,,
LGF0G0005,80:3F:5D:19:35:37,-87,1,3:18:12pm
,,,,
LGF0G0005,80:3F:5D:19:35:37,-90,1,3:18:17pm
,,,,
LGF0G0005,80:3F:5D:19:35:37,-88,1,3:18:20pm
,,,,
LGF0G0005,80:3F:5D:19:35:37,-90,1,3:18:22pm
,,,,
LGF0G0005,80:3F:5D:19:35:37,-87,1,3:18:25pm
,,,,
LGF0G0005,80:3F:5D:19:35:37,-88,1,3:18:29pm
,,,,
LGF0G0005,80:3F:5D:19:35:37,-88,1,3:18:32pm
,,,,
LGF0G0005,80:3F:5D:19:35:37,-88,1,3:18:34pm
,,,,
LGF0G0005,80:3F:5D:19:35:37,-92,1,3:18:37pm
,,,,
LGF0G0005,80:3F:5D:19:35:37,-92,1,3:18:40pm
,,,,
UnifiGuest,64:D9:89:1E:DC:2E,-88,161,3:18:10pm
,,,,
UnifiGuest,64:D9:89:1E:DC:2E,-88,161,3:18:12pm
,,,,
UnifiGuest,64:D9:89:1E:DC:2E,-88,161,3:18:17pm
,,,,
StoraSmartBench,64:D1:54:33:FC:50,-91,3,3:18:10pm
,,,,
StoraSmartBench,64:D1:54:33:FC:50,-91,3,3:18:12pm
,,,,
StoraSmartBench,64:D1:54:33:FC:50,-91,3,3:18:17pm
,,,,
StoraSmartBench,64:D1:54:33:FC:50,-91,3,3:18:20pm
,,,,
UnifiGuest,70:DB:98:AA:EF:AE,-88,56,3:18:20pm
,,,,
UnifiGuest,70:DB:98:AA:EF:AE,-88,56,3:18:22pm
,,,,
UnifiGuest,70:DB:98:AA:EF:AE,-88,56,3:18:25pm
,,,,
UnifiGuest,70:DB:98:AA:EF:AE,-85,56,3:18:29pm
,,,,
UnifiGuest,70:DB:98:AA:EF:AE,-85,56,3:18:32pm
,,,,
UnifiGuest,70:DB:98:AA:EF:AE,-86,56,3:18:34pm
,,,,
UnifiGuest,70:DB:98:AA:EF:AE,-86,56,3:18:37pm
,,,,
UnifiGuest,70:DB:98:AA:EF:AE,-86,56,3:18:40pm
,,,,
SteoraSmartBench,64:D1:54:05:21:F7,-87,7,3:18:10pm
,,,,
SteoraSmartBench,64:D1:54:05:21:F7,-87,7,3:18:12pm
,,,,
SteoraSmartBench,64:D1:54:05:21:F7,-87,7,3:18:17pm
,,,,
UnifiGuest,70:DB:98:9A:20:6E,-88,40,3:18:17pm
,,,,
UnifiGuest,70:DB:98:9A:20:6E,-88,40,3:18:20pm
,,,,
UnifiGuest,70:DB:98:9A:20:6E,-88,40,3:18:22pm
,,,,
UnifiGuest,70:DB:98:9A:20:6E,-91,40,3:18:25pm
,,,,
UnifiGuest,70:DB:98:9A:20:6E,-91,40,3:18:29pm
,,,,
UnifiGuest,70:DB:98:9A:20:6E,-91,40,3:18:32pm
,,,,
UnifiGuest,70:DB:98:9A:20:6E,-91,40,3:18:34pm
,,,,
